Index,name
Image_00000,ModelDropdown
Image_00001,ModelDropdownArrow
Image_00002,ModelDropdownTemplate
Image_00003,ModelDropdownItemBackground
Image_00004,ModelDropdownItemCheckmark
Image_00005,StateDropdown
Image_00006,StateDropdownArrow
Image_00007,StateDropdownTemplate
Image_00008,StateDropdownItemBackground
Image_00009,StateDropdownItemCheckmark
Image_00010,StartBtn
Image_00011,ComputeBtn
Image_00012,2DCodeBtn
Image_00013,StartFrameWrapper
Image_10000,Browse2StartBtn
Image_10001,ModelSwitchBtnInBrowse
Image_10002,ResetBtnInBrowse
Image_10003,ModelSwitchContentInBrowse
Image_10004,CompairStateBtnInBrowse
Image_10005,RoamStateBtnInBrowse
Image_10006,ModelDropdownInBrowse
Image_10007,ModelDropdownInBrowseArrow
Image_10008,ModelDropdownInBrowseTemplate
Image_10009,ModelDropdownInBrowseItemBackground
Image_10010,ModelDropdownInBrowseItemCheckmark
Image_10011,AngleSliderInBrowseBackground
Image_10012,AngleSliderInBrowseFill
Image_10013,AngleSliderInBrowseHandle
Image_20000,Compare2StartBtn
Image_20001,ModelSwitchBtnInCompare
Image_20002,ResetBtnInCompare
Image_20003,ModelSwitchContentInCompare
Image_20004,BrowseStateBtnInCompare
Image_20005,RoamStateBtnInCompare
Image_20006,MainModelDropdownInCompare
Image_20007,MainModelDropdownInCompareArrow
Image_20008,MainModelDropdownInCompareTemplate
Image_20009,MainModelDropdownInCompareItemBackground
Image_20010,MainModelDropdownInCompareItemCheckmark
Image_20011,ViceModelDropdownInCompare
Image_20012,ViceModelDropdownInCompareArrow
Image_20013,ViceModelDropdownInCompareTemplate
Image_20014,ViceModelDropdownInCompareItemBackground
Image_20015,ViceModelDropdownInCompareItemCheckmark
Image_20016,AngleSliderInBrowseBackground
Image_20017,AngleSliderInBrowseFill
Image_20018,AngleSliderInBrowseHandle
Image_20019,BoundarylineImage
Image_30000,Roam2StartBtn
Image_30001,ModelSwitchBtnInRoam
Image_30002,ResetBtnInRoam
Image_30003,ModelSwitchContentInRoam
Image_30004,BrowseStateBtnInRoam
Image_30005,CompareStateBtnInRoam
Image_30006,ModelDropdownInRoam
Image_30007,ModelDropdownInRoamArrow
Image_30008,ModelDropdownInRoamTemplate
Image_30009,ModelDropdownInRoamItemBackground
Image_30010,ModelDropdownInRoamItemCheckmark
Image_30011,JoystickLeft
Image_30012,JoystickLeftThumb
Image_30013,JoystickRight
Image_30014,JoystickRightThumb
